epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8171,1.47019,4.20208,1.45438,0.08396,0.0625,0.05962,0.04456,0.97267,4.39961,1.15481,0.000145,0.000145,0.000145
2,78.86,1.2772,3.66185,1.30889,0.04197,0.95833,0.17711,0.10095,1.05009,4.1296,1.20077,0.00029208,0.00029208,0.00029208
3,121.914,1.31202,3.12481,1.32939,0.78998,0.13816,0.42019,0.25392,1.10583,3.82277,1.29889,0.000436189,0.000436189,0.000436189
4,192.41,1.38626,2.65089,1.37979,0.44602,0.66808,0.65205,0.39812,1.23554,3.05602,1.3855,0.00048515,0.00048515,0.00048515
